date, min, max, pm25, q1, q3, stdev, count
2020/10/20, 4.09, 22.88, 11.35, 8.74, 15, 4.243, 385
2020/10/21, 0.98, 14.75, 4.07, 2.9, 6.75, 2.704, 371
2020/10/22, 0, 41.05, 1.35, 0.8, 2.25, 3.894, 373
2020/10/23, 0.03, 17.02, 0.75, 0.5, 1.1, 1.113, 368
2020/10/24, 0, 4.95, 1.45, 0.88, 2.17, 0.923, 375
2020/10/25, 0.1, 3.35, 0.95, 0.65, 1.35, 0.566, 406
2020/10/26, 0.1, 168.25, 0.77, 0.5, 1.27, 16.196, 405
2020/10/27, 0, 5.5, 0.43, 0.28, 0.9, 0.689, 384
2020/10/28, 0.2, 4.05, 1, 0.8, 1.3, 0.462, 394
2020/10/29, 0, 17.1, 1.1, 0.6, 2.88, 2.649, 394
2020/10/30, 0, 10.27, 0.9, 0.51, 1.62, 1.176, 404
2020/10/31, 0.32, 8.77, 1.5, 0.94, 3.94, 2.061, 409
2020/11/01, 0.2, 6.57, 2.04, 1.05, 3.08, 1.345, 415
2020/11/02, 0.13, 4.8, 0.93, 0.5, 1.4, 0.777, 392
2020/11/03, 0.13, 5.53, 0.9, 0.68, 1.23, 0.678, 390
2020/11/04, 0, 7.78, 0.82, 0.6, 1.17, 0.713, 329
2020/11/05, 0, 11.02, 0.7, 0.3, 1.6, 1.314, 329
2020/11/06, 0.32, 24.75, 1.41, 0.98, 11.32, 7.058, 326
2020/11/07, 1.9, 36.47, 7.23, 4.15, 13.8, 6.231, 354
2020/11/08, 10.19, 53.38, 21.29, 15.43, 31.2, 10.486, 326
2020/11/09, 14.18, 64.81, 37.54, 27.65, 46.38, 11.156, 272
2020/11/10, 0.3, 51.45, 25.04, 15.08, 31.36, 11.498, 308
2020/11/11, 0.13, 12.05, 3.6, 0.93, 7.11, 3.39, 313
2020/11/12, 0, 11.27, 2.17, 0.87, 8.07, 3.633, 265
2020/11/13, 0, 5.05, 1.4, 0.74, 2.74, 1.277, 289
